Unnamed: 0,Country,Coronavirus Information,Quarantine Information,Travel Sentiment Score,Date
11,austria,"
 Entry to Austria 
 Entry to Austria without the need for a COVID-19 test or quarantine is now possible from the UK. The previous requirement for a COVID-19 test or quarantine was removed on 27 July 2020. 
 Entry to Austria without the need for a COVID-19 test or quarantine is also possible for UK nationals travelling from a country on the  Austrian government’s “list of countries where COVID-19 is sufficiently controlled” , who have not travelled outside of these countries in the 10 days before arriving in Austria. 
 If you have travelled in the 10 days before you arrive in Austria to a country not on the Austrian government’s “list of countries where COVID-19 is sufficiently controlled”, you will need a medical certificate not more than 72 hours old, confirming a negative test for COVID-19, or to isolate for 10 days upon arrival without leaving your accommodation. You can end isolation early with a negative coronavirus test. 
 If you have travelled in the 10 days before you arrive in Austria to a  country for which the Austrian government has a travel warning , you will need to isolate for 10 days upon arrival without leaving your accommodation and you must either have a medical certificate not more than 72 hours old, confirming a negative test for COVID-19 on entry, or take a test at your own cost within 48 hours of arrival. It is not possible to end the isolation early with a negative test. 
 You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 Transit Austria 
 If you’re transiting through Austria without a stopover, you do not need a medical certificate if you can prove you are transiting. 
 Neighbouring countries are may be restricting movement across borders and conducting health checks. Check the travel advice for any country you need to travel through. 
",MISSING DATA,0.4510939121246338,2020-10-26
12,azerbaijan,"
 Travelling to Azerbaijan 
 Options for travelling to Azerbaijan are extremely limited. Check with your travel agent or call Azerbaijan Airlines in London  +44 1414 160 888 for further information. There is also some information on the  British Embassy Baku’s Facebook page . 
 The use of a medical mask will be required at all times whilst at the airport and on the flight. It is mandatory to keep the mask on at all times except for specific requirements for example at border control, at the request of an airport official or whilst eating. 
 Hand luggage will not be allowed on flights incoming to Azerbaijan apart from smaller personal items such as a handbag or brief case. Check with your airline for the latest hand-luggage allowances and rules introduced to combat COVID-19 onboard your flight. 
 Azerbaijan’s land borders with all neighbouring countries remain closed. 
 Screening 
 All passengers travelling to or from Azerbaijan will require a negative COVID-19 test. The test itself can be taken more than 48 hours before your flight but the certificate showing the negative test result will only be accepted if issued within 48 hours before the flight. You should seek to have your test results via email and printed off, or a paper certificate. You may be tested again for COVID-19 and have your temperature checked on arrival into Azerbaijan. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 The Cabinet of Ministers has decreed that passengers who do not test positive on arrival will not be required to stay in a state quarantine facility. The relevant decree can be found on the  Azerbaijan Airlines’ (AZAL) website . However, you will still need to self-isolate for 14 days and will have to abide by the restrictions on movement which remain in force for everybody in Azerbaijan. 
 Foreign citizens who do not provide a negative COVID-19 test certificate will not be allowed to enter Azerbaijan. Registration and the boarding of flights will be conducted on the basis of this. 
 If you are arriving to Azerbaijan via a third country (i.e. not directly from the UK) you will still be required to produce a COVID-19 negative test certificate on arrival even if your airline does not request one for boarding part of your journey. In the absence of this certificate you will be denied entry to Azerbaijan and returned to the country of origin on the next available flight at your own expense. 
","
 Anyone who displays symptoms of COVID-19 will be directed to the medical station at the airport. From there the case will be reported to the Emergency Medical Services. If you are taken in to state quarantine facilities or hospitalised you should inform the British Embassy.  Call: +994 12 437 7878. You may hear a message stating that our offices are closed, however, we are available 24/7 – please stay on the line to select the option for ‘calling about an emergency involving a British national’ to speak to a Consular duty officer.” You can also reach us via  Facebook 
 Testing on departure 
 All passengers travelling to or from Azerbaijan will require a negative COVID-19 test. The test itself can be taken more than 48 hours before your flight but the certificate showing the negative test result will only be accepted if issued within 48 hours before the flight. You should seek to have your test results via email and printed off, or a paper certificate. 
 A list of laboratories testing for Coronavirus accredited by the State Health Agency (TABIB) can be found on  Azerbaijan Airlines’ (AZAL) website 
",0.3303189277648926,2020-10-26
13,bahamas,"
 Entry to the Bahamas 
 Flight availability is restricted, only limited international and domestic flight options are available while the state of emergency remains in force. 
 There is currently no direct travel from The Bahamas to the UK. British Airways plan to resume in December. This is subject to change. You should refer to the  BA website  and call centre +1 877 767 7970 for more information. 
Arrival and departure via transit destinations such as  Canada  and the  US  may be possible for eligible travellers. Please refer to the travel advice and restrictions before travelling. 
","
 The emergency restrictions of 23 July have introduced mandatory quarantine/self-isolation and mandatory testing (at the traveller’s own expense) for visitors, nationals and residents entering The Bahamas by commercial means. The orders which set this out are available on the  Prime Minister’s  website. These orders apply for arrivals before 1 November. Arrivals after 1 November will be subject to different rules available on  the Tourism Ministry website . 
 Before 1 November: The 14-day quarantine/self-isolation applies to persons entering The Bahamas via commercial air and private flights, charter flights, pleasure craft, or yachts (from any country).  Visitors entering must follow the mandatory entry requirements for entering The Bahamas, including the COVID-19 testing and Travel Health Visa Application procedures outlined below.  Travellers are permitted to quarantine at a hotel, private club, rented accommodation (eg. AirBnB), or on a private yacht or sailing vessel. 
 A negative COVID-19 RT PCR (molecular swab) test certificate is required on entry as well as a health visa application for international travel and a health card application for domestic travel. The negative test results must be uploaded when completing the Travel Health Visa Application prior to arrival. The test must not have been taken more than 5 days prior to the date of arrival. The health visa application is available from  The Bahamas travel page . An automated email response will be provided once the application is completed. This confirmation must be presented upon arrival in The Bahamas. Allow 72 hours to process. Children 10 years old or younger are exempt from presenting a COVID-19 test upon entering The Bahamas. 
 You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 In addition to the health visa requirements, health screening and social distancing measures are in effect at all international and domestic airports. You should expect longer waiting times on arrival. 
 After 1 November: The new protocols will require visitors, and returning citizens and residents to obtain a RT-PCR (swab) test no more than seven (7) days prior to their travel to The Bahamas. In addition, and to ensure that travellers remain COVID free, a rapid antigen test will be conducted upon arrival, and then again four days (96 hours) after arrival in The Bahamas. The Bahamas health visa will continue to be required and a charge will be levied. More details are available at  the Ministry of Tourism . 
 Entry for residents 
 If you’re a British national ordinarily resident in The Bahamas but unable to return due to the travel restrictions you should refer to the Ministry of Foreign Affairs for  further information  on repatriation and the  Ministry of Tourism  and the  COVID-19 Travel page . 
 Visas 
 If you’re concerned about your immigration status (e.g. overstaying a visa) due to the emergency restrictions the Department of Immigration is 225 5337 or  immigration@bahamas.gov.bs . The Department of Immigration has also published guidance on how to apply for an electronic extension to stay.  Details are available on their website 
",0.33020108938217163,2020-10-26
14,bahrain,"
 Entry to Bahrain 
 Bahrain International Airport remains open, including for transit and transfer passengers, and visas on arrival have been reintroduced for 68 nationalities including the UK. All arrivals into Bahrain will be required to undergo and pay for the enhanced arrivals testing procedure for COVID-19 and need to self-quarantine until test results have been received. Any person staying in Bahrain for 10 days or more must repeat the testing procedure on the 10th day following their arrival in the Kingdom. You will be required to download the “BeAware” app in advance of testing. You should check Bahrain’s  visa portal  for the most up to date information. 
 Flights may also be subject to suspension or a reduced/changed service. You should check with your airline for the most up to date information before travelling to Bahrain and monitor the Bahrain News Agency for further updates as these restrictions may be subject to change. 
 The causeway to Saudi Arabia is now open. In addition to fulfilling visa requirements, those arriving into Bahrain via the Causeway are required to undergo and pay for the same enhanced testing procedure, and self-quarantine until test results have been received. Alternatively, Polymerase chain reaction (PCR) certificates accredited by the Saudi Health Ministry within 72 hours after undergoing the COVID-19 tests are valid for entry to Bahrain with no requirement for additional testing and quarantine. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 If you are planning to travel from Bahrain to Saudi Arabia, from 15 September 2020 only certain categories of expatriates holding valid visas (exit/entry, business, residence/Iqama and visit) are allowed to enter and exit the Kingdom of Saudi Arabia. Check the requirements on the Saudi Arabia  Travel Advice page  and  official government website . 
 Transiting Bahrain 
 Transit and transfer passengers are permitted to use Bahrain International Airport without the requirement to undergo testing. You should check Bahrain’s  visa portal  for the most up to date information. 
 Testing on arrival 
 All arrivals into Bahrain must undergo a coronavirus test on arrival costing 30 Bahraini Dinar and self-isolate until  test  results have been received . A further coronavirus test, also costing 30 Bahraini Dinar, is required at the end of the 10 day period. 
","
 All arrivals into Bahrain will be subject to coronavirus testing procedures, and  will be required to self-isolate until  test results have been received. Those who test positive will be subject to further quarantine measures and health treatment at hospital or quarantine centres. Those who test positive but are without symptoms may be permitted to self-isolate at home. An additional coronavirus test is required 10 days following arrival, which can be booked through the “BeAware” app or by calling 444. 
 The Government of Bahrain has stated that anyone subjected to self-isolation/quarantine must comply or face up to three months in jail and a fine of up to 10,000 BHD. Visit the website of the  Government of Bahrain’s Ministry of Health  for additional information. 
 Data collection 
 All arrivals are required to provide contact details and download the “BeAware” Bahrain app, which will be used to monitor compliance during the self-isolation period. The second PCR swab test can be booked through the app or by calling 444. 
",0.4600443840026856,2020-10-26
15,bangladesh,"
 Entry to Bangladesh 
 Bangladesh authorities have said passengers arriving from coronavirus-affected countries, including the UK, should complete Health Declaration Forms and Passenger Locator Forms provided by cabin crew. You may be subjected to additional health screening measures at the airport. 
 Commercial passenger flights from the UK, Bahrain, China, Malaysia, the Maldives, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Turkey and the UAE are now permitted to land in Bangladesh. You should check with airlines to confirm what flight options are available. Flight schedules are subject to change at short notice and you should monitor travel arrangements closely. 
 The temporary suspension of international passenger flights from Bhutan, Hong Kong, India, Kuwait, Nepal and Thailand remains in force. 
 Medical certificate 
 On arrival in Bangladesh, all foreign nationals are required to produce a medical certificate issued within 72 hours of travel indicating the passenger is COVID-19 negative. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 From 26 July all foreign nationals departing from Bangladesh are required to provide a COVID-19 test certificate issued within 72 hours of travel indicating the passenger is COVID-19 negative. This test certificate must be issued by one of the hospitals listed on the official Civil Aviation Authority of Bangladesh website. You are exempt from this requirement if you have spent less than 14 days in Bangladesh or you are under the age of 10. 
","
 Passengers arriving from coronavirus affected countries, including the UK, are also required to self-quarantine for 14 days. Health officials at the point of entry to Bangladesh will assess whether passengers are able to self-quarantine or need to be taken to a government facility. 
 Passengers with a No Visa Required certificate (an arrangement for foreign nationals of Bangladeshi heritage) arriving in Bangladesh without a medical certificate indicating they are COVID-19 negative, or such passengers who display symptoms, will be placed into quarantine in a government facility for 14 days. Such passengers who arrive with a medical certificate indicating they are COVID-19 negative are required to self-isolate at home for 14 days. 
",0.5423504114151001,2020-10-26
16,barbados,"
 Entry to Barbados 
 Barbados has published travel protocols setting out its entry requirements in relation to COVID-19. Visit the  Visit Barbados website  for full details. You should read these before your departure and monitor the pages on a regular basis as the requirements may change at short notice. Masks should be worn at all times during your travel to Barbados and your passage through the airport.  Social distancing and hygiene protocols are in place. 
 Arrive with a COVID 19 negative test 
 The Government of Barbados designates the UK as a High Risk country. All travellers must present on arrival a valid COVID-19 negative test result taken no more than 72 hours in advance of your flight’s arrival. You should check the protocols to confirm and understand all requirements. Relevant test accrediting bodies and standards authorities include: ISO 15189, CAP, UKAS or the equivalent. 
 All passengers are also required to submit an Embarkation/Disembarkation (ED) card 24 hours prior to travel, to which they should upload their negative test result via www.travelform.gov.bb. 
 If you arrive in Barbados from the UK without a valid negative PCR test, you may be denied entry to the country.  You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. On arrival all passengers are also subject to a health screen. 
","
 All arrivals from the UK are required to undergo a health screen.  You will then be quarantined at approved facilities (a designated holding hotel or approved villa at your own expense, or free of charge at a government facility). See the  Barbados Travel Protocols  for further details. 
 You will be monitored for seven days after arrival. (Monitoring includes interviews and assessments with public health professionals.)  You will be required to undergo a second PCR test 4-5 days after the first accepted negative test result.  If the result of that second test is negative, you will not be subject to further quarantine. 
 If you test positive for COVID-19 at any point during your stay in Barbados, you will be required to self-isolate.  You can request to do this at your own expense at your hotel or villa, or government approved isolation property under strict stipulations which must be signed and adhered to.  Alternatively, you will be transported to alternative accommodation for isolation. You will need to remain at your designated accommodation 
until the Barbadian authorities are satisfied that you have recovered. This may mean a mandatory stay of several weeks in Barbados.  Upon recovery, tourists can continue their holiday or return home.  See the  Barbados Travel Protocols  for full details of isolation options, facilities and requirements. 
 If you are deemed to have been in close contact with a positive COVID-19 case, you will be required to quarantine at approved facilities. See  Barbados Travel Protocols  for full details. 
 You can find full and definitive  details of the protocols at  Visit Barbados website  and are advised to read and understand the requirements carefully before departure. 
 You should monitor the website on a regular basis as the Government of Barbados may change the requirements  without notice. 
",0.4741490781307221,2020-10-26
17,belarus,"
 Entry to Belarus 
 All arrivals from the UK must self-isolate for 10 days, regardless of whether they show symptoms. 
 You must wear a protective face mask on all Belavia flights and at Minsk National Airport. 
 You’ll need to have valid medical insurance before travelling to Belarus. You’ll be asked to provide proof of your insurance when you apply for your visa or when you arrive at Minsk airport under the visa-free regime. Contact the  Embassy of the Republic of Belarus  for full details of what’s required. 
 It is still possible to enter Belarus by land, however, given the current situation, checks at the border may take longer than usual. If you are planning to enter or exit Belarus by land, we advise you to check the travel advice of the relevant neighbouring country, as coronavirus-related border restrictions may be put in place at short notice. 
 Transiting 
 There are no separate rules for transiting Belarus, other than the requirements set out below. 
","
 All arrivals from the UK must self-isolate for 10 days, regardless of whether they show symptoms. 
",0.3618108630180359,2020-10-26
18,belgium,"
 Entry to Belgium 
 If you plan to travel to Belgium by air or boat you must complete the  Passenger Locator Form . If you’re travelling by another means of transport, and plan to stay for more than 48 hours in Belgium, or return to Belgium after a stay of more than 48 hours abroad, you must also complete the form. 
 If, after submitting the Passenger Locator Form, you receive a message advising you to self-isolate, you should follow the instructions closely.  Further information can be found on the  Belgian Ministry of Foreign Affairs website  and the  Passenger Locator Form FAQs . 
 The Belgian Government has introduced a traffic light system of high, medium and low risk regions. You should check the map on the  Belgian Ministry of Foreign Affairs  website (in English) for the latest information on affected regions. Check the map frequently, including both before and during your travel, as the zones are updated regularly. 
",MISSING DATA,0.44148337841033936,2020-10-26
19,belize,"
 Entry to Belize 
 All Belize land borders are closed.  The Philip Goldson International Airport (Belize City) reopened on 1 October for restricted entry and with strict protocols in place. 
 There are no direct flights between the UK and Belize. The regulations of countries that you may pass through and / or UK requirements on travel from transit countries may affect your travel. For more information see  FCO Travel Advice  on the countries through which you may travel or transit. 
 Entry to Belize is restricted with different requirements for the following groups: 
 
 Belize nationals, permanent residents and foreign diplomats accredited to Belize 
 Persons with business concerns in Belize (non-work permits) 
 Foreign second home owners, Qualified Retired Persons and long term stay non-nationals 
 Foreign Tourists 
 All that are eligible for entry except foreign tourists, must  apply to visit  and have approval from the Ministry of Foreign Affairs before booking your travel.  You may need to quarantine, subject to testing, at your own expense. 
 Foreign tourist entry requirements are: 
 Prior to arrival: 
 
 Download Belize Health App and complete required information.  You will then receive a unique ID to travel within the Tourism Safe Corridor. 
 Book your stay at an approved Gold Standard hotel 
 Take a PCR test within 72 hours of boarding your flight.  A negative result will provide a ‘fast track’ arrival process.  You may be randomly selected for secondary testing. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. If you are unable to take a test prior to travel, you must take a test on arrival at your own expense for US$50. 
 Movements within Belize will be restricted to: 
 
 Transport to approved Gold Standard hotel, by your approved ground / air transportation 
 Participate in approved tours with approved Gold Standard tour operators and guides, 
 If you receive a positive test result you will be put into mandatory quarantine for a minimum of 14 days at an approved quarantine hotel at your own expense. 
 Further information is available from the  Belize Tourism Board  or  Travel Belize . 
 Everyone must comply with the current Statutory Instrument.  See Travel in Belize. 
",MISSING DATA,0.4610408842563629,2020-10-26
20,benin,"
 Entry to Benin 
 Entry visas are restricted. Entry and exit at border crossings is limited to “extreme necessity” and authorised in liaison with bordering countries. 
 The land border with Togo is closed. 
 Testing/screening on arrival and departure 
 Cotonou Cadjehoun International Airport has reinforced measures in place for visitors arriving in Benin. All arriving passengers must undergo mandatory COVID-19 testing - one test on arrival and a second test 14 days after the first negative test result. These tests are at passenger expense; fees are 100,000 FCFA (approximately £136) inclusive for two tests, payable to airlines at the time of booking flights. Passengers will be required to leave their passports with Immigration Police for 72 hours until the first test results are received. 
 All departing passengers must undergo testing at Cotonou Cadjehoun International Airport or Palais des Congres. Fees are 50,000 FCFA (normal service) or 75,000 FCFA (premium service). There is an  online guidance page  (in French) which explains the steps for arriving and departing passengers. 
 All passengers must  complete a health form online . 
","
 Those who test positive for COVID-19 will be subject to government-mandated isolation measures and will receive treatment free of charge. Quarantine areas will be guarded by defence and security forces to ensure that quarantine regulations are strictly adhered to, and the Government of Benin will retain passengers’ passports until all testing and isolation requirements are met to ensure compliance. 
",0.3248155117034912,2020-10-26
21,bermuda,"
 Entry to Bermuda 
 Due to the Covid-19 outbreak, all visitors from a country classified by the WHO as having community transmission of Covid-19 (including the UK) will need to apply for Travel Authorisation and are required to have a pre-departure test. This applies to adults and children aged 10 and up. Those without a negative pre-departure test will not be able to obtain Travel Authorisation. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 All travellers must wear face masks when travelling to the departure airport and practice social distancing at the departure airport. 
 Upon arrival, visitors must, show a copy of your Travel Authorisation and present a copy of the pre-departure PCR Covid-19 negative test result to health officers on request. 
 All travellers will undergo PCR Covid-19 testing at the Bermuda L.F. Wade International Airport. It’s important that travellers adhere to the Covid-19 guidance and quarantine in their accommodation until airport tests results are ready. Failure to adhere to guidelines could result in a fine of up to $25,000 and/or up to six month’ imprisonment. 
 You should check the  Bermuda Government website  for more information and to apply for Bermuda Travel Authorisation. 
",MISSING DATA,0.4453378617763519,2020-10-26
